luna_sin,luna_cos,ora_sin,ora_cos,temperatura,grad_seninatate,viteza_vant,presiune
1.0,0.0,0.0,1.0,0.2121,0.55,0.6441,0.8462
1.0,0.0,0.2588,0.9659,0.1212,0.58,0.8644,0.6923
1.0,0.0,0.5,0.866,0.2424,0.02,0.4746,0.7692
1.0,0.0,0.7071,0.7071,0.2727,0.27,0.2373,0.1795
1.0,0.0,0.866,0.5,0.2121,0.73,0.7119,0.9744
1.0,0.0,0.9659,0.2588,0.2727,0.34,0.1186,0.641
1.0,0.0,1.0,0.0,0.303,0.6,0.339,0.8462
1.0,0.0,0.9659,-0.2588,0.5455,0.92,0.6441,0.0513
1.0,0.0,0.866,-0.5,0.4545,0.53,0.9661,0.2821
1.0,0.0,0.7071,-0.7071,0.5152,0.62,0.3051,0.0
1.0,0.0,0.5,-0.866,0.5758,0.78,0.3729,0.1026
1.0,0.0,0.2588,-0.9659,0.7879,0.96,0.1695,0.7436
1.0,0.0,0.0,-1.0,0.7576,0.06,0.1695,0.7436
1.0,0.0,-0.2588,-0.9659,0.8788,0.75,0.3898,0.4103
1.0,0.0,-0.5,-0.866,0.7576,0.48,0.8814,0.5641
1.0,0.0,-0.7071,-0.7071,0.8788,0.93,0.5932,0.359
1.0,0.0,-0.866,-0.5,0.8182,0.84,0.661,0.9231
1.0,0.0,-0.9659,-0.2588,0.6667,0.3,0.3898,0.5128
1.0,0.0,-1.0,-0.0,0.7273,0.57,0.0339,0.3333
1.0,0.0,-0.9659,0.2588,0.697,0.6,0.3559,0.0256
1.0,0.0,-0.866,0.5,0.3636,0.23,0.8814,0.2564
1.0,0.0,-0.7071,0.7071,0.3636,0.19,0.0169,0.9744
1.0,0.0,-0.5,0.866,0.2424,0.36,0.3898,0.9487
1.0,0.0,-0.2588,0.9659,0.1212,0.03,0.7288,0.8462
1.0,0.0,0.0,1.0,0.1818,0.91,0.4915,0.9487
1.0,0.0,0.2588,0.9659,0.2121,0.19,0.6271,0.8462
1.0,0.0,0.5,0.866,0.2121,0.59,0.0169,0.4359
1.0,0.0,0.7071,0.7071,0.1515,0.23,1.0,0.7436
1.0,0.0,0.866,0.5,0.2121,0.49,0.339,0.359
1.0,0.0,0.9659,0.2588,0.2121,0.48,0.5424,0.6667
1.0,0.0,1.0,0.0,0.2121,0.5,0.1864,0.8462
1.0,0.0,0.9659,-0.2588,0.5152,0.95,0.9661,0.9487
1.0,0.0,0.866,-0.5,0.5758,0.35,0.3559,0.8205
1.0,0.0,0.7071,-0.7071,0.6061,0.97,0.7288,0.5897
1.0,0.0,0.5,-0.866,0.7576,0.99,0.4068,0.359
1.0,0.0,0.2588,-0.9659,0.7273,0.65,0.8136,0.7436
1.0,0.0,0.0,-1.0,0.8485,0.78,0.4407,0.4103
1.0,0.0,-0.2588,-0.9659,0.8485,0.33,0.9831,0.1026
1.0,0.0,-0.5,-0.866,0.8788,0.35,0.6949,0.7179
1.0,0.0,-0.7071,-0.7071,0.7273,0.05,0.4576,0.0769
1.0,0.0,-0.866,-0.5,0.7576,0.38,1.0,0.2308
1.0,0.0,-0.9659,-0.2588,0.8182,0.41,0.2542,0.4103
1.0,0.0,-1.0,-0.0,0.7273,0.57,0.2373,0.2308
1.0,0.0,-0.9659,0.2588,0.5152,0.11,0.7797,0.4103
1.0,0.0,-0.866,0.5,0.4545,0.02,0.8475,0.4872
1.0,0.0,-0.7071,0.7071,0.303,0.17,0.7288,0.5897
1.0,0.0,-0.5,0.866,0.2424,0.39,0.9153,0.1026
1.0,0.0,-0.2588,0.9659,0.1818,0.2,0.8644,0.8462
1.0,0.0,0.0,1.0,0.2121,0.14,0.9492,0.1282
1.0,0.0,0.2588,0.9659,0.2121,0.96,0.0339,0.0256
1.0,0.0,0.5,0.866,0.1212,0.98,0.6102,0.3077
1.0,0.0,0.7071,0.7071,0.1515,0.25,0.8475,0.2564
