luna_sin,luna_cos,ora_sin,ora_cos,temperatura,grad_seninatate,viteza_vant,presiune
0.866,-0.5,0.2588,-0.9659,0.7778,0.34,0.1525,0.7436
0.866,-0.5,-0.5,-0.866,0.8056,0.63,0.5763,0.3333
0.5,-0.866,0.7071,-0.7071,0.5,0.49,0.4407,0.7692
0.5,-0.866,0.9659,-0.2588,0.4722,0.3,0.3729,0.3846
0.5,-0.866,-0.866,-0.5,0.7222,0.24,0.8475,0.4359
0.866,-0.5,1.0,0.0,0.25,0.8,0.3559,0.8462
0.5,-0.866,0.5,-0.866,0.6389,0.44,0.7797,0.5128
1.0,0.0,0.5,0.866,0.1944,0.72,0.6949,0.7949
1.0,0.0,0.7071,0.7071,0.1667,0.07,0.4576,0.4872
0.866,-0.5,0.7071,0.7071,0.25,0.1,0.7458,0.1795
0.866,-0.5,0.7071,0.7071,0.1944,0.99,0.6441,0.2051
0.5,-0.866,1.0,0.0,0.3333,0.35,0.9831,0.8974
0.866,-0.5,0.7071,0.7071,0.2222,0.78,0.5932,0.0
0.5,-0.866,-0.2588,0.9659,0.25,0.11,0.0847,0.7436
0.5,-0.866,0.866,0.5,0.1667,0.32,0.1864,0.1795
0.866,-0.5,0.2588,0.9659,0.2222,0.09,0.1525,0.4103
0.5,-0.866,0.5,0.866,0.1389,0.96,0.678,0.0769
1.0,0.0,0.2588,-0.9659,0.8056,0.81,0.6949,0.5385
0.5,-0.866,-0.9659,0.2588,0.5,0.41,0.6441,0.0513
0.5,-0.866,0.866,-0.5,0.6111,0.57,0.1864,0.7179
0.5,-0.866,0.9659,-0.2588,0.5556,0.52,0.7119,0.1026
0.5,-0.866,0.0,-1.0,0.75,0.21,0.2712,0.0769
0.5,-0.866,-0.5,-0.866,0.8056,0.46,0.5763,0.5641
0.5,-0.866,0.866,0.5,0.1389,0.03,0.9322,0.8974
1.0,0.0,0.2588,-0.9659,0.6111,0.27,0.8136,0.9744
0.5,-0.866,-0.9659,-0.2588,0.6389,0.08,0.9831,0.3333
1.0,0.0,0.5,0.866,0.1667,0.6,0.6102,0.3846
0.5,-0.866,0.7071,0.7071,0.2778,0.05,0.5254,0.5897
1.0,0.0,1.0,0.0,0.3056,0.46,0.7119,0.5897
1.0,0.0,0.9659,0.2588,0.2778,0.14,0.5424,0.2821
0.866,-0.5,0.0,-1.0,0.7778,0.55,0.4576,0.3077
1.0,0.0,0.866,0.5,0.2778,0.68,0.7627,0.1538
0.5,-0.866,-1.0,-0.0,0.6389,0.29,0.9831,0.3077
0.866,-0.5,0.2588,0.9659,0.1389,0.29,0.3729,0.3077
0.5,-0.866,-0.9659,-0.2588,0.6667,0.53,0.8136,0.9744
0.866,-0.5,0.0,1.0,0.2222,0.42,0.7288,0.0
0.5,-0.866,0.9659,-0.2588,0.5556,0.63,0.0678,0.4872
1.0,0.0,0.2588,-0.9659,0.6944,0.34,0.3051,0.2308
1.0,0.0,-0.5,-0.866,0.8333,0.67,0.8644,0.0256
1.0,0.0,-1.0,-0.0,0.7222,0.74,0.4746,0.9231
0.5,-0.866,0.9659,-0.2588,0.4444,0.74,0.8814,0.7692
0.866,-0.5,-0.2588,-0.9659,0.6944,0.1,0.2712,0.7949
0.866,-0.5,-0.7071,-0.7071,0.6944,0.53,0.0678,0.641
1.0,0.0,0.0,1.0,0.2778,0.28,0.0,0.2821
1.0,0.0,-0.866,0.5,0.5,0.49,0.5424,0.8462
1.0,0.0,-0.866,-0.5,0.8056,0.9,0.6441,0.4359
1.0,0.0,1.0,0.0,0.3333,0.04,0.6271,0.6154
0.5,-0.866,-0.9659,-0.2588,0.5278,0.01,0.7288,0.2051
0.866,-0.5,-0.2588,0.9659,0.25,0.16,0.2034,0.4615
1.0,0.0,-0.7071,-0.7071,0.7222,0.55,0.3898,0.3077
1.0,0.0,-0.5,0.866,0.1944,0.6,0.8136,0.2308
0.5,-0.866,-0.5,0.866,0.2778,0.9,0.6102,0.0
0.866,-0.5,-0.2588,0.9659,0.2222,0.25,0.7288,0.5641
1.0,0.0,-1.0,-0.0,0.7222,1.0,0.4237,0.5641
0.5,-0.866,-0.866,-0.5,0.6944,0.4,0.9831,0.4359
1.0,0.0,-1.0,-0.0,0.5556,0.36,0.9153,0.641
0.5,-0.866,-0.866,0.5,0.4444,0.0,0.6441,1.0
0.5,-0.866,0.9659,0.2588,0.1667,0.67,0.8983,0.2308
0.866,-0.5,0.2588,0.9659,0.1944,0.82,0.6441,0.9744
0.866,-0.5,0.5,0.866,0.2222,0.6,0.3051,0.0
0.866,-0.5,-0.7071,0.7071,0.3611,0.78,0.9153,0.4872
0.5,-0.866,1.0,0.0,0.4167,0.97,0.4068,0.5128
0.866,-0.5,0.2588,0.9659,0.2222,0.74,0.1017,0.7436
